"id","name","lastname","phone","street","city","buildingNumber"
"1","Roderyk","Szczepaniak","86-885-42-63","ul. Kogut 318","Puck","22"
"2","Brygida","Chojnowski","32-688-73-20","al. Konieczna 6703","Złotów","6"
"3","Ofelia","Stanek","15-232-81-59","ul. Borkowski 96031","Zawidów","38"
"4","Osmund","Wójcicki","42-058-55-76","ul. Kubacki 1595","Wolbrom","55"
"5","Ofelia","Osiński","84-954-98-25","ul. Żurawski 2190","Supraśl","35"
"6","Andrzej","Masłowski","18-083-02-46","ul. Wójcik 40181","Dolsk","90"
"7","Platon","Szymański","58-995-58-97","ul. Małecki 87097","Warta","38"
"8","Agata","Pytel","24-462-70-98","al. Florek 152","Sława","28"
"9","Hugo","Kaczmarczyk","16-826-93-75","ul. Pasternak 244","Pełczyce","82"
"10","Igor","Jaśkiewicz","46-548-53-85","al. Szczepański 589","Krosno Odrzańskie","64"
"11","Abraham","Pytel","43-809-08-27","al. Kuliński 65852","Bełchatów","82"
"12","Łazarz","Marek","91-189-18-70","ul. Sobolewski 0609","Chojnice","35"
"13","Ignacy","Chojnacki","23-683-49-63","ul. Różycki 5753","Hel","59"
"14","Zachary","Raczyński","42-269-88-02","ul. Walczak 55691","Świebodzice","62"
"15","Oliwia","Nowak","43-596-42-44","al. Prokop 8193","Przedbórz","82"
"16","Stanisław","Biernacki","63-145-61-96","ul. Jaros 2647","Witkowo","38"
"17","Lilianna","Niemczyk","56-341-42-55","ul. Niewiadomski 600","Brzeg","47"
"18","Igor","Górny","76-135-52-52","al. Kozioł 469","Radzyń Chełmiński","47"
"19","Paula","Krukowski","62-361-09-02","ul. Grabowski 91838","Krasnobród","87"
"20","Helena","Marzec","65-702-42-25","ul. Mrozek 9765","Ozimek","45"
"21","Marceli","Urbanowicz","34-295-32-05","ul. Kołodziejski 140","Trzebinia","61"
"22","Klaudia","Wroński","41-375-99-33","al. Suski 7083","Słomniki","89"
"23","Franciszek","Staszewski","68-636-47-33","al. Czyż 225","Kozienice","50"
"24","Walenty","Maćkowiak","43-421-40-51","ul. Baran 294","Puck","12"
"25","Rafał","Świderski","74-946-96-18","ul. Wrona 11380","Busko-Zdrój","48"
"26","Agaton","Kuś","12-136-94-78","al. Wysocki 5994","Radzyń Podlaski","59"
"27","Arseniusz","Sokół","89-654-99-18","ul. Mroczek 2422","Pniewy","59"
"28","Konstancja","Noga","42-312-24-06","ul. Jaros 04716","Świętochłowice","3"
"29","Sebastian","Kujawa","83-200-11-34","ul. Klimczak 4703","Głogów","91"
"30","Efrem","Królikowski","44-479-04-74","al. Zagórski 5670","Wasilków","78"
"31","Demetriusz","Rudnicki","54-089-55-02","al. Piotrowski 509","Cybinka","48"
"32","Pelagia","Trzeciak","32-953-34-87","al. Madej 3973","Sejny","29"
"33","Andrzej","Dębski","83-049-74-90","al. Pająk 0266","Baranów Sandomierski","16"
"34","Nazary","Rybak","83-396-69-02","al. Surma 860","Radomyśl Wielki","40"
"35","Zygmunt","Kostecki","95-959-77-34","ul. Kasprzak 4985","Jelenia Góra","51"
"36","Leila","Chudzik","55-904-96-06","al. Majchrzak 05688","Kleszczele","86"
"37","Hilary","Frankowski","16-751-09-50","ul. Krukowski 1417","Kałuszyn","25"
"38","Magnus","Smoliński","41-068-83-37","ul. Dobosz 6164","Zakliczyn","95"
"39","Olimpia","Wypych","22-034-79-50","al. Komorowski 3524","Złotoryja","51"
"40","Sylwia","Sokołowski","46-824-56-87","ul. Łukasiewicz 635","Wrocław","92"
"41","Ksawera","Cholewa","14-477-08-89","ul. Michalski 2615","Szubin","59"
"42","Liliana","Kowalski","48-221-39-68","al. Banach 445","Konin","33"
"43","Feliks","Janik","89-402-32-33","ul. Mika 588","Sośnicowice","70"
"44","Lucja","Wypych","84-851-37-66","al. Godlewski 145","Strzelce Krajeńskie","39"
"45","Patrycy","Kaszuba","62-341-93-34","ul. Krzyżanowski 00277","Libiąż","48"
